rozmiar,dostawca,wysokosc,szerokosc,dlugosc,szerokosc_paczki,wysokosc_przesylki
14.9-24,MO1,124,38,124,43,139
14.9-24,MO1,124,38,124,43,139
14.9-24,MO10,124,38,124,43,139
14.9-24,MO10,124,38,124,43,139
14.9-24,MO10,124,38,124,43,139
14.9-24,MO8,124,38,124,43,139
14.9-26,MO2,129,38,129,43,144
14.9-26,MO5,129,38,129,43,144
14.9-26,MO5,129,38,129,43,144
14.9-26,MO5,129,38,129,43,144
14.9-26,MO8,129,38,129,43,144
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO2,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
14.9-28,MO5,134,38,134,43,149
