Kod producenta;ean;id JMK;Producent;Bieżnik;Sezon;Rodzaj;nazwa;szerokosc;profil;srednica;Indeks prędkości 1;Indeks Prędkości 2;Indeks Nośność 1;Indeks Nośność 2;Zamiennik;System;Magazyn 1 ilosc;Magazyn 2 ilosc;Cena detal netto;Cena klient netto;Opór toczenia;Przyczepność;Hałas Klasa;Hałas dB;Dot;Konstrukcja;Masa brutto;EPRELURL;Informacje_dodatkowe
5001515770000;8590341001375;63323;Mitas;IM04;;rolnicze;OPONA 10.0/75-15.3 (260/75-15.3) IM04 14PR TL Mitas;10.0;75;15.3;;;14PR;;260/75-15.3;;3;3;563,00;371,58;;;;;;-;17 kg;;
5001515920000;8590341017536;51880;Mitas;IM04;;rolnicze;OPONA 11.5/80-15.3 IM04 14PR TL Mitas;11.5;80;15.3;;;14PR;;;;1;1;697,00;460,02;;;;;;-;0;;
5001516020000;8590341017444;51887;Mitas;TR03;;rolnicze;OPONA 11.5/80-15.3 TR03 14PR TL Mitas;11.5;80;15.3;;;14PR;;;;1;1;821,00;541,86;;;;;;-;0;;
5001516580000;0440000075958;72429;Mitas;TS05;;rolnicze;OPONA 10.0/75-15.3 (260/75-15.3) TS05 10PR TL Mitas;10.0;75;15.3;;;10PR;;260/75-15.3;;20;20;760,00;501,60;;;;;;-;17 kg;;
5002601450000;8590341052421;3892;Cultor;AS-AGRI13;;rolnicze;OPONA 13.6-24 (340/85-24) AS-AGRI13 8PR TT Cultor;13.6;;24;;;8PR;;340/85-24;;2;2;1260,00;831,60;;;;;;-;49 kg;;
5002601820000;8590341052476;889;Cultor;AS-AGRI10;;rolnicze;OPONA 14.9-26 AS-AGRI10 8PR TT Cultor;14.9;;26;;;8PR;;;;3;3;1651,00;1089,66;;;;;;-;51 kg;;
5002601859000;8590341052483;2574;Cultor;AS-AGRI10;;rolnicze;OPONA 16.9-26 AS-AGRI10 10PR TT Cultor;16.9;;26;;;10PR;;;;1;1;1831,00;1208,46;;;;;;-;75 kg;;
5002602010000;8590341052537;846;Cultor;AS-AGRI10;;rolnicze;OPONA 8.3-28 AS-AGRI10 8PR TT Cultor;8.3;;28;;;8PR;;;;3;3;743,00;490,38;;;;;;-;22 kg;;
5002602290000;8059971060843;51064;Cultor;AS-AGRI20;;rolnicze;OPONA 14.9-28 (380/85-28) AS-AGRI20 8PR TT Cultor;14.9;;28;;;8PR;;380/85-28;;20;20;1321,00;871,86;;;;;;-;0;;
5002602460000;8590341052612;15588;Cultor;AS-AGRI10;;rolnicze;OPONA 14.9-30 (380/85-30) AS-AGRI10 6PR TT Cultor;14.9;;30;;;6PR;;380/85-30;;2;2;1961,00;1294,26;;;;;;-;68 kg;;
5002602680000;8590341052650;40244;Cultor;AS-AGRI10;;rolnicze;OPONA 8.3-32 AS-AGRI10 6PR TT Cultor;8.3;;32;;;6PR;;;;3;3;835,00;551,10;;;;;;-;0;;
5002602680000;0440000112998;88275;Cultor;AS-AGRI10;;rolnicze;OPONA 8.3-32 AS-AGRI10 6PR TT Cultor;8.3;;32;;;6PR;;;;2;2;750,00;495,00;;;;;2022;-;0;;
5002602710000;8590341052667;935;Cultor;AS-AGRI13;;rolnicze;OPONA 9.5-32 AS-AGRI13 6PR TT Cultor;9.5;;32;;;6PR;;;;15;15;871,00;574,86;;;;;;-;31 kg;;
5002602730000;8590341052674;3761;Cultor;AS-AGRI13;;rolnicze;OPONA 12.4-32 (320/85-32) AS-AGRI13 6PR TT Cultor;12.4;;32;;;6PR;;320/85-32;;2;2;1386,00;914,76;;;;;;-;50 kg;;
5002602790000;8590341052681;3705;Cultor;AS-AGRI10;;rolnicze;OPONA 16.9-34 (420/85-34) AS-AGRI10 8PR TT Cultor;16.9;;34;;;8PR;;420/85-34;;1;1;2086,00;1376,76;;;;;;-;113 kg;;
5002602900000;8590341052780;2575;Cultor;AS-AGRI10;;rolnicze;OPONA 8.3-36 AS-AGRI10 6PR TT Cultor;8.3;;36;;;6PR;;;;2;2;894,00;590,04;;;;;;-;24 kg;;
5002602910000;8590341052773;2570;Cultor;AS-AGRI 10;;rolnicze;OPONA 9.5-36 AS-AGRI 10 6PR TT Cultor;9.5;;36;;;6PR;;;;20;20;800,00;528,00;;;;;;-;40 kg;;
5002602970000;8590341052759;3255;Cultor;AS-AGRI13;;rolnicze;OPONA 12.4-36 AS-AGRI13 6PR TT Cultor;12.4;;36;;;6PR;;;;2;2;1384,00;913,44;;;;;;-;54 kg;;
5002603920000;8590341052551;3561;Cultor;AS-AGRI19;;rolnicze;OPONA 12.4-28 (320/85-28) AS-AGRI19 8PR TT Cultor;12.4;;28;;;8PR;;320/85-28;;1;1;1090,00;719,40;;;;;;-;43 kg;;
5002604060000;8590341052438;3562;Cultor;AS-AGRI19;;rolnicze;OPONA 14.9-24 (380/85-24) AS-AGRI19 8PR TT Cultor;14.9;;24;;;8PR;;380/85-24;;1;1;1289,00;850,74;;;;;;-;63 kg;;
5002604130000;8590341052599;5074;Cultor;AS-AGRI13;;rolnicze;OPONA 16.9-28 (420/85-28) AS-AGRI13 12PR TT Cultor;16.9;;28;;;12PR;;420/85-28;;1;1;1921,00;1267,86;;;;;;-;91 kg;;
5002604150000;8590341052643;3872;Cultor;AS-AGRI 13;;rolnicze;OPONA 16.9-30 (420/85-30) AS-AGRI 13 14PR TT Cultor;16.9;;30;;;14PR;;420/85-30;;3;3;2053,00;1354,98;;;;;;-;80 kg;;
5002604160000;8590341052735;3004;Cultor;AS-AGRI13;;rolnicze;OPONA 13.6-38 (340/85-38) AS-AGRI13 8PR TT Cultor;13.6;;38;;;8PR;;340/85-38;;2;2;1768,00;1166,88;;;;;;-;67 kg;;
5002604170000;8590341052711;5314;Cultor;AS-AGRI19;;rolnicze;OPONA 18.4-38 (460/85-38) AS-AGRI19 10PR TT Cultor;18.4;;38;;;10PR;;460/85-38;;2;2;2817,00;1859,22;;;;;;-;113 kg;;
5002604180000;8590341052704;3412;Cultor;AS-AGRI19;;rolnicze;OPONA 18.4-38 (460/85-38) AS-AGRI19 14PR TT Cultor;18.4;;38;;;14PR;;460/85-38;;2;2;2987,00;1971,42;;;;;;-;113 kg;;
5002604970000;8590341102805;43762;Cultor;AS-AGRI 10;;rolnicze;OPONA 9.5-42 AS-AGRI 10 10PR TT Cultor;9.5;;42;;;10PR;;;;4;4;1651,00;1089,66;;;;;;-;0;;
5002605590000;8590341110749;40945;Cultor;AW-IMPLEMENT 13;;rolnicze;OPONA 300/90-24 AW-IMPLEMENT 13 132A6 TT Cultor;300;90;24;A6;;132;;;;4;4;960,00;633,60;;;;;;-;0;;
5002606330000;8590341052209;79055;Cultor;AS-FRONT 08;;rolnicze;OPONA 7.50-16 AS-FRONT 08 8PR TT Cultor;7.50;;16;;;8PR;;;;3;3;345,00;227,70;;;;;;-;16 kg;;
5002610710000;8590341066411;56737;Cultor;SKID STEER 30;;rolnicze;OPONA 10-16.5 SKID STEER 30 8PR TL Cultor;10;;16.5;;;8PR;;;;4;4;1080,00;712,80;;;;;;-;0;;
5002610750000;8590341061034;4619;Cultor;SKID STEER 20;;przemysłowe;OPONA 10-16.5 SKID STEER 20 8PR TL Cultor;10;;16.5;;;8PR;;;;4;4;757,00;499,62;;;;;;-;25 kg;;
5002610810000;8590341066428;29119;Cultor;SKID STEER 30;;przemysłowe;OPONA 12-16.5 SKID STEER 30 12PR TL Cultor;12;;16.5;;;12PR;;;;2;2;1092,00;720,72;;;;;;-;40 kg;;
