id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
170275;8903094030545;BKT;PL 801;5.50-15;;;TL;8;315;1;12.40;inne;wielosezonowe 
170283;8903094046072;BKT;AGRIMAX RT 855;420/85R46(16.9R46);170/159;A2/D;TL (bezdęt;;4750;0;162;inne;wielosezonowe 
170286;;BKT;PACMASTER;11.00-20;169;A2;TT (dętkow;18 PR;2100;1;66;inne;wielosezonowe 
170302;;BKT;TR 678;;;;;;595;2;;inne;wielosezonowe 
170331;8903094041862;BKT;AGRIMAX RT 657;420/65R20;138/135;A8/D;TL (bezdęt;;2060;1;62;inne;wielosezonowe 
170480;8903094054534;BKT;MAGLIFT STD (NIEBRUDZĄCA);8.25-15;162;A2;;;1710;1;87;inne;wielosezonowe 
170481;;BKT;MAGLIFT LIP (NIEBRUDZĄCA) (QUICK);8.25-15;162;A5;;;2100;1;87;inne;wielosezonowe 
171651;8903094021888;BKT;AGRIMAX RT 765;260/70R16;109/B;A8/;TL (bezdęt;;768;1;23;inne;wielosezonowe 
171724;;BKT;Earthmax SR 51 L5*;17.5R25L5;176;A2;TL (bezdęt;;5850;0;250;inne;wielosezonowe 
171782;;BKT;ROCK GRIP;16.00-25;196/177;A2/B;TL (bezdęt;32;5650;0;270 kg;inne;wielosezonowe 
171932;8903094033546;BKT;TR 171 E;5-12;61;A6;TT (dętkow;4;210;0;6.7 kg;inne;wielosezonowe 
172065;8903094042531;BKT;AGRIMAX RT 955;210/90R24;107/B;A8/;TL (bezdęt;;1130;2;30;inne;wielosezonowe 
172075;;BKT;AT 621;12.5/70-16;125;A2;TL (bezdęt;8;750;1;32;inne;wielosezonowe 
172080;8903094053636;BKT;EARTHMAX SR35 CR;750/65R25;202/190;A2/B;TL (bezdęt;;13480;2;440;inne;wielosezonowe 
172081;;BKT;AT 108;22x11.00-10;47;J;TL (bezdęt;6;252;0;9;quad;wielosezonowe 
172096;;BKT;AT 108;25x10.00-12;;;TL (bezdęt;4;359;0;;quad;wielosezonowe 
172174;8903094032785;BKT;XL GRIP PORT IND-3;12,00x24;189;A2;TT (dętkow;24;2770;2;100;inne;wielosezonowe 
175030;;BKT;AS 504;;;;;;880;0;;inne;wielosezonowe 
175160;;BKT;AS 504;;;;TT;;790;0;;inne;wielosezonowe 
176637;8903094040636;BKT;AGRIMAX RT955 E;300/85R42;144/144;A8/B;TL;;2730;0;72.7;inne;wielosezonowe 
176958;;BKT;BK-LOADER 53 (155A2;16.0/70R20(405/70R2;155/151;A2/A4;TL (bezdęt;;4520;0;120;inne;wielosezonowe 
177519;;BKT;PL 801;7.00-12;;;TT;14;330;0;17;inne;wielosezonowe 
178853;;BKT;EARTHMAX SR 53 CR;20.5R25;186;A2;TL (bezdęt;;12100;1;395;inne;wielosezonowe 
179134;;BKT;LG 306;25x8.50-14;94;A6;TL (bezdęt;6;345;0;11;inne;wielosezonowe 
179282;8903094055210;BKT;AGRIMAX RT 955;230/95R40;132A8/B;/;TL (bezdęt;;1930;1;54;inne;wielosezonowe 
